symbol,entry_date,entry_avg,qty,status,exit_date,exit_avg,exit_reason,sold_qty,open_qty,realized,unrealized,realized_pct,hold_days,combined_score,top_k_of,basket,mfe_pct,mae_pct,post_exit_5d_pct,post_exit_10d_pct,post_exit_20d_pct,sig_ignition,sig_wsb_surge,sig_pm_rvol,sig_gap_pct,sig_squeeze,sig_uoa_z,sig_gtrends_spike,sig_finra_short_ratio
HLT,2026-06-26,336.79,5.0,closed,2026-07-01,330.73,time_stop,5.0,0.0,-30.3,0.0,-1.8,3,0.7857,,random,1.49,-2.28,2.1,-2.26,-2.63,2,,,,,,,
SLS,2026-06-26,11.216,178.0,closed,2026-06-30,13.4382,trail,178.0,0.0,395.55,0.0,19.81,2,0.767,"ignition,wsb",wsb,41.4,-7.54,2.39,-4.82,-25.1,3,48.0,,15.0,,,,
CHTR,2026-06-29,148.81,13.0,closed,2026-06-30,139.9623,trail,13.0,0.0,-115.02,0.0,-5.95,1,0.7482,"gtrends,squeeze",gappers,12.73,-6.7,-4.6,-6.26,3.78,1,,,31.93,340.57,,1.27,0.4187
XBI,2026-06-29,157.1783,12.0,closed,2026-07-01,157.23,time_stop,12.0,0.0,0.62,0.0,0.03,2,0.6784,"finra_shortvol,ignition",finra_shortvol,1.8,-1.75,4.49,-3.35,-3.71,3,,,,,,0.0,0.7485
ASTS,2026-06-30,85.79,23.0,closed,2026-07-01,87.3,time_stop,23.0,0.0,34.73,0.0,1.76,1,0.7123,"filtered3,pm_rvol,stocktwits,wsb",wsb,7.02,-4.51,-15.36,-36.98,-33.05,1,5.1,3.02,16.93,48.25,,0.69,0.5449
CADL,2026-06-30,10.67,189.0,closed,2026-07-01,10.3108,trail,189.0,0.0,-67.88,0.0,-3.37,1,0.7099,"filtered3,ignition,stocktwits",stocktwits,6.28,-7.64,-4.18,-8.15,-4.42,3,,,5.72,,,0.33,0.5062
SLS,2026-06-30,14.4957,138.0,closed,2026-07-01,13.83,trail,138.0,0.0,-91.87,0.0,-4.59,1,0.9109,"filtered3,gtrends,ignition,pennystocks,stocktwits",stocktwits,9.41,-11.84,-2.35,-15.11,-25.7,4,,,24.37,,,2.33,0.4558
META,2026-07-01,601.75,3.0,closed,2026-07-06,585.44,time_stop,3.0,0.0,-48.93,0.0,-2.71,3,0.6769,"pm_rvol,stocktwits,wsb",wsb,4.41,-3.54,12.2,10.32,0.8,1,5.1,19.92,7.04,2.32,,0.66,0.4133
RAM,2026-07-01,21.43,93.0,closed,2026-07-02,18.99,trail,93.0,0.0,-226.92,0.0,-11.39,1,0.6513,,gappers,3.73,-25.99,-5.11,-36.12,-45.21,,,3.44,-12.26,,,0.49,0.5685
OUST,2026-07-02,53.33,37.0,closed,2026-07-06,49.7,trail,37.0,0.0,-134.31,0.0,-6.81,2,0.6594,"filtered3,gtrends,pm_rvol,stocktwits",stocktwits,10.05,-8.16,-19.44,-30.12,-14.65,1,,1.66,-9.16,,,1.67,0.3506
RDDT,2026-07-02,191.94,10.0,closed,2026-07-07,202.51,time_stop,10.0,0.0,105.7,0.0,5.51,3,0.7455,"filtered3,squeeze,wsb",wsb,8.11,-3.79,0.32,-8.33,-21.01,1,14.3,1.28,,36.47,,0.99,0.5725
ADP,2026-07-06,239.6,8.0,closed,2026-07-10,241.3,time_stop,8.0,0.0,13.6,0.0,0.71,4,0.6835,,random,3.68,-1.1,5.83,3.64,12.43,1,,,,27.12,,0.36,0.6033
MSTR,2026-07-06,97.623,20.0,closed,2026-07-10,98.318,time_stop,20.0,0.0,13.9,0.0,0.71,4,0.6235,"filtered3,pm_rvol,stocktwits",stocktwits,7.2,-5.94,-3.56,-6.79,1.68,1,1.1,4.0,,,,0.42,0.3684
WULF,2026-07-06,24.94,80.0,closed,2026-07-06,22.53,trail,80.0,0.0,-192.8,0.0,-9.66,0,0.6534,"filtered3,gtrends,pm_rvol,squeeze,stocktwits",stocktwits,0.36,-11.75,-7.23,-16.38,-16.33,0,,12.91,5.58,104.05,,0.59,0.3665
IBKR,2026-07-07,95.46,20.0,closed,2026-07-10,95.2,time_stop,20.0,0.0,-5.2,0.0,-0.27,3,0.7447,,random,1.82,-3.78,-4.93,-3.6,-7.75,2,,,,9.4,,0.5,0.4044
QQQ,2026-07-07,713.275,2.0,closed,2026-07-10,721.355,time_stop,2.0,0.0,16.16,0.0,1.13,3,0.7052,"pm_rvol,wsb",wsb,1.84,-1.72,-3.61,-5.13,0.21,1,5.5,1.15,,,,0.56,0.6368
RDDT,2026-07-07,203.08,10.0,closed,2026-07-10,205.019,time_stop,10.0,0.0,19.39,0.0,0.95,3,0.3933,"finra_shortvol,gtrends,squeeze",gappers,2.24,-6.76,-11.56,-17.67,-21.2,1,3.4,0.0,3.18,36.47,,0.8,0.6496
RIVN,2026-07-07,17.854,112.0,closed,2026-07-08,15.68,trail,112.0,0.0,-243.49,0.0,-12.18,1,0.7123,"filtered3,gtrends,squeeze,stocktwits,wsb",wsb,1.21,-13.52,13.49,9.5,-0.83,1,18.0,,8.0,64.63,,1.16,0.4661
DPZ,2026-07-08,304.69,6.0,closed,2026-07-13,308.17,time_stop,6.0,0.0,20.88,0.0,1.14,3,0.7713,,random,2.33,-2.87,6.81,11.51,12.88,1,,,,85.7,,0.9,0.6806
DTE,2026-07-08,152.81,13.0,closed,2026-07-13,151.2,time_stop,13.0,0.0,-20.93,0.0,-1.05,3,0.738,wsb,wsb,0.43,-2.8,-3.5,-2.67,-9.54,1,3.4,,,,,1.11,0.4869
IGSB,2026-07-08,52.14,38.0,closed,2026-07-13,52.11,time_stop,38.0,0.0,-1.14,0.0,-0.06,3,0.8772,,random,0.14,-0.2,0.12,-0.08,-0.12,2,,,,,,0.0,0.5215
ENVX,2026-07-09,5.51,363.0,closed,2026-07-13,5.05,trail,363.0,0.0,-166.98,0.0,-8.35,2,0.7833,"filtered3,gtrends,stocktwits",stocktwits,1.81,-10.8,-9.7,-16.24,-8.12,1,,,,,,1.3,0.6302
PENG,2026-07-09,85.58,23.0,closed,2026-07-10,78.9374,trail,23.0,0.0,-152.78,0.0,-7.76,1,0.8041,"filtered3,gtrends,ignition,pm_rvol",gtrends,4.86,-13.75,-23.58,-31.86,-25.99,2,1.8,2.29,,,,2.73,0.6127
POET,2026-07-09,9.02,222.0,closed,2026-07-13,8.16,trail,222.0,0.0,-190.92,0.0,-9.53,2,0.6903,"filtered3,stocktwits",stocktwits,1.27,-13.25,-8.33,-12.99,4.9,1,,0.36,7.49,,,0.65,0.5621
FBRX,2026-07-10,39.87,51.0,closed,2026-07-13,40.77,trail,51.0,0.0,45.9,0.0,2.26,1,0.655,"filtered3,ignition,options",gappers,13.39,-5.29,16.58,87.7,88.42,3,,0.0,78.1,,,1.0,0.4283
OMC,2026-07-10,82.9,24.0,closed,2026-07-15,81.42,time_stop,24.0,0.0,-35.52,0.0,-1.79,3,0.7207,,random,1.18,-2.71,-2.51,1.45,4.94,1,,,,110.42,,0.0,0.7206
OPEN,2026-07-10,5.44,367.0,closed,2026-07-10,4.95,trail,367.0,0.0,-179.83,0.0,-9.01,0,0.639,"ignition,wsb",wsb,0.92,-12.5,-8.99,-22.42,-29.6,2,4.4,0.55,11.48,,,0.47,0.3853
BW,2026-07-13,11.54,173.0,closed,2026-07-15,10.5299,trail,173.0,0.0,-174.74,0.0,-8.75,2,0.8793,"filtered3,finra_shortvol,ignition,stocktwits",stocktwits,6.76,-8.84,1.33,-24.55,-7.26,2,,,,,,0.54,0.7305
SNDK,2026-07-13,1709.65,1.0,closed,2026-07-15,1630.0,trail,1.0,0.0,-79.65,0.0,-4.66,2,0.7622,"filtered3,ignition,pm_rvol,wsb",wsb,5.9,-13.47,-1.86,-37.72,-17.52,2,6.4,1.81,,,,0.39,0.4829
ELV,2026-07-14,429.29,4.0,closed,2026-07-15,381.005,trail,4.0,0.0,-193.14,0.0,-11.25,1,0.7675,,random,1.01,-12.33,2.1,-1.31,4.74,2,,,,10.29,,0.0,0.4528
IBM,2026-07-14,220.92,9.0,closed,2026-07-17,213.85,time_stop,9.0,0.0,-63.63,0.0,-3.2,3,0.7429,"finra_shortvol,gtrends,stocktwits,wsb",wsb,2.82,-7.43,0.1,4.65,9.62,0,409.0,,-20.8,13.2,,1.34,0.6314
D,2026-07-15,71.21,28.0,closed,2026-07-20,71.27,time_stop,28.0,0.0,1.68,0.0,0.08,3,0.8728,,random,2.5,-1.46,-1.4,-3.52,-3.47,2,,,,13.4,,0.43,0.4833
ASTS,2026-07-16,58.85,34.0,closed,2026-07-21,59.89,time_stop,34.0,0.0,35.36,0.0,1.77,3,0.7374,"filtered3,squeeze,wsb",wsb,9.69,-9.28,-5.56,17.32,11.94,0,29.1,0.48,-16.17,56.5,,1.1,0.5008
ICLR,2026-07-16,173.35,11.0,closed,2026-07-21,163.73,time_stop,11.0,0.0,-105.82,0.0,-5.55,3,0.6936,,random,-0.31,-5.63,10.05,-4.21,2.13,1,,,,10.99,,0.58,0.4413
SKHY,2026-07-16,163.045,12.0,closed,2026-07-17,148.1808,trail,12.0,0.0,-178.37,0.0,-9.12,1,0.7419,"gtrends,options,pm_rvol",gappers,3.11,-10.7,4.4,-3.1,12.22,,,0.92,-15.58,,,6.67,0.3985
NFLX,2026-07-17,66.9866,29.0,closed,2026-07-22,70.14,time_stop,29.0,0.0,91.45,0.0,4.71,3,0.7037,"gtrends,pm_rvol,stocktwits,wsb",wsb,5.34,-2.85,4.98,5.78,14.39,0,7.6,1.87,-10.57,5.43,,2.98,0.3472
PSX,2026-07-17,204.76,9.0,closed,2026-07-22,215.32,time_stop,9.0,0.0,95.04,0.0,5.16,3,0.7142,,random,5.47,-0.59,-3.96,-6.02,12.48,2,,,,6.93,,0.89,0.267
XEL,2026-07-17,81.45,24.0,closed,2026-07-22,79.38,time_stop,24.0,0.0,-49.68,0.0,-2.54,3,0.7804,,random,-0.01,-4.25,-0.63,-2.75,0.05,1,,,,57.12,,0.0,0.3226
PSNL,2026-07-20,13.46,148.0,closed,2026-07-21,12.9648,trail,148.0,0.0,-73.29,0.0,-3.68,1,0.7242,"filtered3,halts,options,stocktwits",stocktwits,9.32,-3.79,-8.44,4.13,7.29,1,,,,,,0.33,0.3894
SHEL,2026-07-20,86.0817,23.0,closed,2026-07-23,89.22,time_stop,23.0,0.0,72.18,0.0,3.65,3,0.7575,,random,3.87,-0.42,1.42,0.45,5.0,2,,,,8.75,,0.0,0.6119
EA,2026-07-21,209.16,9.0,closed,2026-07-24,209.04,time_stop,9.0,0.0,-1.08,0.0,-0.06,3,0.9348,,random,0.04,-0.2,0.41,0.39,0.39,2,,,,19.52,,0.73,0.2282
NBIS,2026-07-21,196.3,10.0,closed,2026-07-24,207.02,trail,10.0,0.0,107.2,0.0,5.46,3,0.7835,"filtered3,options,squeeze,wsb",wsb,17.23,-4.99,-8.07,-9.2,5.79,1,4.7,1.33,,98.73,,0.89,0.5655
NUAI,2026-07-21,5.4876,364.0,closed,2026-07-22,5.78,trail,364.0,0.0,106.42,0.0,5.33,1,0.7859,"filtered3,gtrends,options,stocktwits",stocktwits,17.17,-3.6,-29.58,-10.29,-6.57,1,,,26.38,,,1.33,0.4198
ARWR,2026-07-22,89.06,22.0,closed,2026-07-24,85.71,trail,22.0,0.0,-73.7,0.0,-3.76,2,0.6536,,gappers,7.11,-4.74,-1.25,2.28,1.67,1,,,22.46,,,1.33,0.5374
MPC,2026-07-22,325.23,6.0,closed,2026-07-27,310.65,time_stop,6.0,0.0,-87.48,0.0,-4.48,3,0.7052,,random,0.23,-5.91,-1.08,3.1,16.73,2,,,,8.18,,0.33,0.6607
SMCI,2026-07-22,30.57,65.0,closed,2026-07-24,29.3468,trail,65.0,0.0,-79.51,0.0,-4.0,2,0.8163,"filtered3,gtrends,pm_rvol,shortsqueeze,stocktwits,wsb",wsb,6.58,-6.71,-3.23,5.99,26.86,1,64.0,2.71,21.68,28.75,,1.74,0.4622
AMP,2026-07-23,523.91,3.0,closed,2026-07-28,539.62,time_stop,3.0,0.0,47.13,0.0,3.0,3,0.7232,,random,5.56,-2.11,2.52,4.29,3.83,1,,,,26.43,,0.57,0.7275
CLF,2026-07-23,11.11,180.0,closed,2026-07-28,11.96,time_stop,180.0,0.0,153.0,0.0,7.65,3,0.7608,,gappers,12.15,-3.92,2.84,3.72,-3.72,1,,,18.38,,,1.33,0.4676
ADSK,2026-07-27,215.55,9.0,closed,2026-07-30,236.08,time_stop,9.0,0.0,184.77,0.0,9.52,3,0.7161,,random,15.55,-1.56,2.72,9.29,14.74,1,,,,13.23,,0.0,0.7923
VRSK,2026-07-27,205.25,9.0,closed,2026-07-30,202.5867,trail,9.0,0.0,-23.97,0.0,-1.3,3,0.6999,,random,10.08,-3.61,-6.37,-8.23,-5.71,1,,,,11.18,,0.0,0.701
BBY,2026-07-28,90.09,22.0,closed,2026-07-31,86.87,time_stop,22.0,0.0,-70.84,0.0,-3.57,3,0.8677,,random,1.18,-4.42,-5.66,-0.5,-5.1,2,,,,43.79,,0.33,0.3966
CAH,2026-07-28,232.07,8.0,closed,2026-07-31,228.06,time_stop,8.0,0.0,-32.08,0.0,-1.73,3,0.75,,random,0.81,-2.8,3.66,3.11,2.86,2,,,,8.72,,0.33,0.5143
GWW,2026-07-29,1388.87,1.0,closed,2026-08-03,1373.87,time_stop,1.0,0.0,-15.0,0.0,-1.08,3,0.6948,,random,0.12,-3.52,-5.6,-4.05,-4.64,2,,,,9.59,,0.0,0.4149
CVNA,2026-07-30,59.6588,33.0,closed,2026-08-04,68.05,time_stop,33.0,0.0,276.91,0.0,14.07,3,0.762,"pm_rvol,squeeze",gappers,16.17,-5.84,5.8,-4.45,7.94,1,,19.58,-10.11,94.79,,,0.565
HPQ,2026-07-30,26.79,74.0,closed,2026-08-04,27.24,time_stop,74.0,0.0,33.3,0.0,1.68,3,0.8761,,random,8.03,-2.65,6.7,10.06,10.21,2,,,,63.48,,,0.5369
AXTI,2026-07-31,60.15,33.0,closed,2026-08-03,55.0,trail,33.0,0.0,-169.95,0.0,-8.56,1,0.7596,"filtered3,options,pm_rvol,wsb",wsb,18.35,-10.77,34.27,74.59,10.2,1,40.0,14.07,81.97,,,1.97,0.3584
BE,2026-07-31,217.57,9.0,closed,2026-08-03,194.04,trail,9.0,0.0,-211.77,0.0,-10.81,1,0.6692,"filtered3,ignition,pm_rvol",filtered3,7.98,-12.07,8.49,19.69,6.27,2,1.7,2.65,,9.96,,0.93,0.401
AMBA,2026-08-03,83.94,24.0,closed,2026-08-06,84.13,time_stop,24.0,0.0,4.56,0.0,0.23,3,0.7877,"filtered3,ignition",gappers,2.39,-5.44,-2.7,-13.85,-17.54,3,,,15.83,,,0.33,0.4368
DBC,2026-08-03,28.74,369.0,closed,2026-08-06,28.61,time_stop,369.0,0.0,-47.97,0.0,-0.45,3,,,,0.59,-1.84,4.05,8.7,9.37,,,,,,,,
EEM,2026-08-03,63.68,185.0,closed,2026-08-06,64.65,time_stop,185.0,0.0,179.45,0.0,1.52,3,,,,4.0,-0.53,3.14,3.06,3.62,,,,,,,,
EFA,2026-08-03,105.87,206.0,closed,2026-08-06,107.5347,time_stop,206.0,0.0,342.92,0.0,1.57,3,,,,1.97,-0.31,1.07,-0.18,-0.1,,,,,,,,
FSLR,2026-08-03,223.99,8.0,closed,2026-08-05,225.95,trail,8.0,0.0,15.68,0.0,0.88,2,0.7032,"finra_shortvol,gtrends,squeeze",gtrends,12.5,-2.74,0.38,-1.62,-10.63,1,,,,63.57,,0.81,0.7442
GLD,2026-08-03,369.96,26.0,closed,2026-08-06,389.59,time_stop,26.0,0.0,510.38,0.0,5.31,3,,,,5.98,-0.34,2.4,6.59,4.86,,,,,,,,
IEF,2026-08-03,92.83,660.0,closed,2026-08-06,93.1651,time_stop,660.0,0.0,221.18,0.0,0.36,3,,,,0.53,-0.15,0.14,-0.17,-0.47,,,,,,,,
IWM,2026-08-03,295.4568,57.0,closed,2026-08-06,299.1081,time_stop,57.0,0.0,208.12,0.0,1.24,3,,,,2.57,-1.03,1.46,-0.48,-1.74,,,,,,,,
LYV,2026-08-03,176.41,11.0,closed,2026-08-06,182.84,time_stop,11.0,0.0,70.73,0.0,3.64,3,0.747,,random,5.1,-0.9,1.8,-0.63,-1.54,1,,,,151.57,,0.0,0.6212
QQQ,2026-08-03,691.9325,16.0,closed,2026-08-06,710.6175,time_stop,16.0,0.0,298.96,0.0,2.7,3,,,,5.27,-0.85,3.02,0.04,0.85,,,,,,,,
SLV,2026-08-03,51.75,97.0,closed,2026-08-06,55.4486,time_stop,97.0,0.0,358.76,0.0,7.15,3,,,,9.65,-1.2,4.91,11.24,8.44,,,,,,,,
SPY,2026-08-03,753.928,25.0,closed,2026-08-06,769.8992,time_stop,25.0,0.0,399.28,0.0,2.12,3,0.6466,wsb,wsb,3.04,-0.63,1.03,-0.95,-0.39,1,3.2,0.46,,,,0.37,0.4805
USO,2026-08-03,120.71,31.0,closed,2026-08-06,116.46,time_stop,31.0,0.0,-131.75,0.0,-3.52,3,0.4675,wsb,wsb,1.69,-5.65,7.37,15.52,14.82,0,13.0,1.7,,,,0.36,0.5951
UUP,2026-08-03,28.15,1801.0,closed,2026-08-06,28.12,time_stop,1801.0,0.0,-54.03,0.0,-0.11,3,,,,0.14,-0.25,0.27,-0.71,0.0,,,,,,,,
AAOI,2026-08-04,126.6313,15.0,closed,2026-08-06,121.3533,trail,15.0,0.0,-79.17,0.0,-4.17,2,0.7144,"filtered3,ignition,options,pm_rvol",gappers,10.48,-5.77,7.17,6.39,-11.22,2,5.7,19.26,39.04,,,1.15,0.5712
LITE,2026-08-04,843.39,2.0,closed,2026-08-06,794.34,trail,2.0,0.0,-98.1,0.0,-5.82,2,0.676,"filtered3,pm_rvol",gappers,4.77,-5.54,10.9,10.69,15.12,2,15.0,9.4,22.31,22.0,,0.71,0.4755
PLTR,2026-08-04,151.5454,13.0,closed,2026-08-07,164.0985,time_stop,13.0,0.0,163.19,0.0,8.28,3,0.6718,"finra_shortvol,gtrends,stocktwits,wsb",wsb,13.77,-5.24,6.05,9.65,13.55,1,10.4,1.63,18.95,6.3,,2.06,0.6315
SHOP,2026-08-05,145.82,13.0,closed,2026-08-10,153.84,time_stop,13.0,0.0,104.26,0.0,5.5,3,0.743,"pm_rvol,stocktwits,wsb",wsb,6.72,-2.44,-3.39,-2.63,-4.21,2,22.0,17.81,27.8,6.93,,0.71,0.1862
TLT,2026-08-05,83.0185,324.0,closed,2026-08-06,82.81,time_stop,324.0,0.0,-67.55,0.0,-0.25,1,,,,0.16,-0.75,-0.27,-0.57,-0.35,,,,,,,,
UPST,2026-08-05,32.55,61.0,closed,2026-08-06,30.23,trail,61.0,0.0,-141.52,0.0,-7.13,1,0.6967,,gappers,3.1,-10.03,2.51,-4.55,-5.19,2,,,16.66,,,1.67,0.6163
WULF,2026-08-05,19.1681,104.0,closed,2026-08-06,17.609,trail,104.0,0.0,-162.14,0.0,-8.13,1,0.6761,"filtered3,pm_rvol,squeeze",filtered3,1.37,-10.48,-7.43,-6.58,-14.08,0,,5.14,,71.92,,0.85,0.4339
FLNC,2026-08-06,14.68,136.0,closed,2026-08-06,13.6,trail,136.0,0.0,-146.88,0.0,-7.36,0,0.5156,"gtrends,options",gappers,2.83,-13.39,-2.9,-16.29,-20.55,0,,2.76,-18.43,,,3.32,0.6375
HTZ,2026-08-06,1.68,1190.0,closed,2026-08-06,1.98,trail,1190.0,0.0,357.0,0.0,17.86,0,0.7517,"filtered3,options,pennystocks,pm_rvol",pennystocks,29.76,-2.38,18.69,5.56,14.9,1,9.0,146.3,,,,1.63,0.5581
