symbol,entry_date,entry_avg,qty,status,exit_date,exit_avg,exit_reason,sold_qty,open_qty,realized,unrealized,realized_pct,hold_days,combined_score,top_k_of,basket,mfe_pct,mae_pct,post_exit_5d_pct,post_exit_10d_pct,post_exit_20d_pct,sig_ignition,sig_wsb_surge,sig_pm_rvol,sig_gap_pct,sig_squeeze,sig_uoa_z,sig_gtrends_spike,sig_finra_short_ratio
NVAX,2026-08-06,7.64,263.0,closed,2026-08-06,7.77,time_stop,263.0,0.0,34.19,0.0,1.7,0,0.7426,options,options,2.88,-1.31,4.63,8.49,20.59,1,,,,,,1.34,0.5939
SOUN,2026-08-06,7.68,260.0,closed,2026-08-06,7.23,time_stop,260.0,0.0,-116.99,0.0,-5.86,0,0.7345,"pm_rvol,stocktwits,wsb",wsb,6.58,-8.85,3.32,-3.73,-0.83,0,19.8,40.26,24.02,,,2.09,0.5695
HTZ,2026-08-07,2.36,847.0,closed,2026-08-07,2.2661,trail,847.0,0.0,-79.56,0.0,-3.98,0,0.9168,"filtered3,gtrends,ignition,options,options_cheap,pennystocks,pm_rvol,shortsqueeze,wsb",wsb,5.3,-9.75,-1.59,-0.93,0.39,2,73.9,12.52,,,,9.85,0.3753
NB,2026-08-07,5.45,366.0,closed,2026-08-12,5.2674,time_stop,366.0,0.0,-66.85,0.0,-3.35,3,0.3518,options_cheap,options_cheap,3.39,-4.5,-15.33,-17.7,-20.36,1,,,,,,0.67,0.3731
TE,2026-08-07,6.18,323.0,closed,2026-08-10,5.6,trail,323.0,0.0,-187.34,0.0,-9.39,1,0.263,"options,options_cheap",options,1.7,-14.81,-13.04,-22.32,-20.54,2,1.7,0.0,,,,0.95,0.4644
HTZ,2026-08-10,2.33,860.0,closed,2026-08-10,2.1,trail,860.0,0.0,-197.8,0.0,-9.87,0,0.8501,"filtered3,gtrends,ignition,options,options_cheap,shortsqueeze,wsb",wsb,10.52,-12.23,3.1,4.05,8.33,3,4.4,0.35,,,,1.74,0.576
ONDS,2026-08-10,9.35,214.0,closed,2026-08-13,9.2344,trail,214.0,0.0,-24.74,0.0,-1.24,3,0.4638,"options_cheap,pm_rvol",options_cheap,6.42,-5.88,-9.04,-5.14,-17.16,1,1.4,1.6,,,,0.64,0.461
RUM,2026-08-10,6.36,314.0,closed,2026-08-13,8.13,time_stop,314.0,0.0,555.78,0.0,27.83,3,0.3918,"finra_shortvol,options_cheap",gappers,34.43,-5.03,3.81,15.87,10.21,1,,,3.4,,,0.59,0.6307
API,2026-08-11,4.58,438.0,closed,2026-08-14,4.51,time_stop,438.0,0.0,-30.66,0.0,-1.53,3,0.6093,"ignition,options_cheap,options_flow",options_cheap,5.68,-2.62,-3.88,-9.09,-7.1,2,6.2,,,,,0.42,0.285
FRMI,2026-08-11,6.84,293.0,closed,2026-08-13,6.9177,trail,293.0,0.0,22.76,0.0,1.14,2,0.5242,"options,options_cheap",gappers,12.21,-4.68,-13.55,-21.22,-28.23,0,,,16.8,,,1.33,0.3157
PLUG,2026-08-11,2.3,871.0,closed,2026-08-14,2.3,time_stop,871.0,0.0,0.0,0.0,0.0,3,0.4028,"finra_shortvol,options,options_cheap,pm_rvol",finra_shortvol,10.22,-6.09,-1.3,-4.57,-5.65,0,11.0,8.18,,,,1.12,0.7447
EYPT,2026-08-17,4.42,448.0,closed,2026-08-20,5.7294,trail,448.0,0.0,586.6,0.0,29.62,3,0.7651,"filtered3,gtrends,halts,options,options_cheap,stocktwits",stocktwits,43.44,-10.07,-19.45,-21.72,-21.72,1,,,-67.83,,,0.67,0.5528
HTZ,2026-08-17,2.22,896.0,closed,2026-08-18,2.08,trail,896.0,0.0,-125.44,0.0,-6.31,1,0.311,"options,options_cheap",options,2.7,-8.11,7.45,9.38,9.38,0,1.7,0.05,,,,0.39,0.4945
OCUL,2026-08-17,10.7071,187.0,closed,2026-08-20,11.41,time_stop,187.0,0.0,131.44,0.0,6.56,3,0.4465,"gtrends,options,options_cheap,stocktwits",stocktwits,9.65,-3.48,-5.3,-8.06,-8.06,0,,,,,,0.67,0.4321
DUOT,2026-08-18,12.38,162.0,closed,2026-08-18,11.5379,trail,162.0,0.0,-136.42,0.0,-6.8,0,0.756,"filtered3,gtrends,options,options_cheap,options_flow",gappers,3.51,-9.65,-11.51,-19.57,-19.57,1,,,12.72,,,1.33,0.5847
KLAR,2026-08-18,15.72,127.0,closed,2026-08-20,14.3475,trail,127.0,0.0,-174.31,0.0,-8.73,2,0.5691,"gtrends,options,options_cheap,stocktwits",stocktwits,2.48,-11.96,-2.35,2.25,2.25,0,3.8,,-24.88,,,4.08,0.6403
PONY,2026-08-18,7.59,263.0,closed,2026-08-21,8.02,time_stop,263.0,0.0,113.09,0.0,5.67,3,0.1975,options_cheap,options_cheap,9.68,-4.87,-5.55,-11.6,-11.6,0,,0.0,,,,1.0,0.5991
BULL,2026-08-19,8.01,249.0,closed,2026-08-20,8.96,trail,249.0,0.0,236.55,0.0,11.86,1,0.2933,options_cheap,options_cheap,23.91,-1.25,6.75,5.69,5.69,0,4.0,,,,,0.76,0.4648
IOVA,2026-08-19,7.72,259.0,closed,2026-08-21,8.44,trail,259.0,0.0,186.48,0.0,9.33,2,0.5771,"filtered3,ignition,options_cheap",filtered3,21.24,-6.61,-4.98,-3.32,-3.32,1,,,,,,1.18,0.4434
TOYO,2026-08-19,4.449,449.0,closed,2026-08-24,4.45,time_stop,449.0,0.0,0.43,0.0,0.02,3,0.1975,"finra_shortvol,gtrends,options,options_cheap",gappers,9.35,-4.14,-5.28,-5.28,-5.28,0,,,-3.7,,,1.33,0.6589
HTZ,2026-08-20,2.14,934.0,closed,2026-08-25,2.17,time_stop,934.0,0.0,28.02,0.0,1.4,3,0.4998,"options,options_cheap",options,9.58,-5.14,4.84,4.84,4.84,1,2.2,0.05,,,,0.68,0.5233
PURR,2026-08-20,9.59,209.0,closed,2026-08-25,10.83,time_stop,209.0,0.0,259.16,0.0,12.93,3,0.5865,"gtrends,ignition,options,options_cheap,options_flow",gappers,26.17,-7.25,13.2,13.2,13.2,2,,0.0,30.14,,,2.67,0.4853
RUM,2026-08-21,8.58,233.0,closed,2026-08-26,9.2873,trail,233.0,0.0,164.81,0.0,8.24,3,0.275,"options_cheap,options_flow",options_cheap,23.25,-1.92,-3.52,-3.52,-3.52,0,,,,,,0.66,0.5523
CAPR,2026-08-24,6.49,309.0,closed,2026-08-24,6.77,trail,309.0,0.0,86.52,0.0,4.31,0,0.2158,"options,options_cheap",gappers,23.34,-2.23,46.38,46.38,46.38,0,,0.0,-8.56,,,0.53,0.3564
HTZ,2026-08-25,2.18,917.0,closed,2026-08-27,2.04,trail,917.0,0.0,-128.38,0.0,-6.42,2,0.2632,"options,options_cheap",options,4.13,-6.88,11.52,11.52,11.52,0,2.6,0.2,,,,0.26,0.5756
PURR,2026-08-25,10.86,184.0,closed,2026-08-28,12.7482,trail,184.0,0.0,347.43,0.0,17.39,3,0.6954,"filtered3,gtrends,ignition,options,options_cheap,options_flow,pm_rvol",gtrends,30.2,-3.64,-3.83,-3.83,-3.83,3,,2.21,,,,2.0,0.3836
UAMY,2026-08-25,5.11,391.0,closed,2026-08-26,5.02,trail,391.0,0.0,-35.19,0.0,-1.76,1,0.2441,options_cheap,gappers,9.2,-1.57,-2.99,-2.99,-2.99,0,,,-7.19,,,0.69,0.6516
CRML,2026-08-26,8.21,243.0,closed,2026-08-28,7.7,trail,243.0,0.0,-123.93,0.0,-6.21,2,0.833,"filtered3,ignition,options,options_cheap,options_flow,stocktwits",stocktwits,4.14,-14.37,-6.36,-6.36,-6.36,2,,1.4,20.06,,,1.77,0.5626
KSS,2026-08-26,16.3677,123.0,closed,2026-08-31,17.49,time_stop,123.0,0.0,138.04,0.0,6.86,3,0.2692,"finra_shortvol,options,options_cheap",gappers,12.42,-2.0,,,,0,,,-3.44,,,0.0,0.6686
SMR,2026-08-26,10.06,198.0,closed,2026-08-26,9.2,trail,198.0,0.0,-170.28,0.0,-8.55,0,0.4835,"options_cheap,pm_rvol",gappers,1.94,-9.94,0.82,0.82,0.82,1,,1.57,8.9,,,0.93,0.2996
AI,2026-08-27,10.23,195.0,open,,,,0.0,195.0,0.0,104.7,,2,0.1071,"options,options_cheap,options_flow",options,6.7,-2.69,,,,0,,,,,,0.53,0.533
RCAT,2026-08-27,9.17,219.0,closed,2026-08-28,8.48,trail,219.0,0.0,-151.11,0.0,-7.52,1,0.2878,"options_cheap,pm_rvol",options_cheap,2.78,-7.8,1.42,1.42,1.42,0,,0.94,,,,0.74,0.6331
AGEN,2026-08-28,7.85,255.0,open,,,,0.0,255.0,0.0,-61.2,,1,0.1389,"finra_shortvol,options_cheap",gappers,2.23,-4.46,,,,0,,,-5.34,,,0.0,0.6538
SLS,2026-08-28,14.37,139.0,closed,2026-08-31,12.9655,trail,139.0,0.0,-195.22,0.0,-9.77,1,0.6367,"filtered3,options,options_cheap",filtered3,2.3,-9.95,,,,2,3.5,,,,,1.21,0.5304
