date,submit_ts,symbol,qty,intended_px,bid,ask,mid,spread_bps,fill_avg,slip_vs_intended_bps,slip_vs_mid_bps,order_id
2026-07-27,2026-07-27T09:44:19-04:00,VRSK,9,204.595,204.1,205.25,204.675,56.2,205.25,32.0,28.1,9b71217f-f5c1-454b-80d1-709dde385d43
2026-07-28,2026-07-28T09:44:21-04:00,BBY,22,90.25,85.2,93.56,89.38,935.3,90.09,-17.7,79.4,190e2d8a-f7ce-483a-ad77-86159f92bddc
2026-07-28,2026-07-28T09:44:21-04:00,CAH,8,231.98,231.63,244.85,238.24,554.9,232.07,3.9,-259.0,39567f17-fc2a-4dd0-8253-ee9262beefe0
2026-07-29,2026-07-29T09:44:17-04:00,GWW,1,1383.43,1286.57,1467.9,1377.235,1316.6,1388.87,39.3,84.5,32699c46-e190-4c86-a8be-f26a4f6aa872
2026-07-30,2026-07-30T09:44:19-04:00,HPQ,74,26.78,26.75,26.8,26.775,18.7,26.79,3.7,5.6,73e3c250-5fbc-48d0-8f5b-25aed72e66cc
2026-07-30,2026-07-30T09:44:19-04:00,CVNA,33,59.64,59.6,59.8,59.7,33.5,59.6588,3.2,-6.9,79ce8a40-c7ba-4e1e-bd1d-932a17c60009
2026-07-31,2026-07-31T09:44:20-04:00,AXTI,33,60.11,57.0,65.0,61.0,1311.5,60.15,6.7,-139.3,6da213f2-eaa5-491f-b115-cd29854d7672
2026-07-31,2026-07-31T09:44:20-04:00,BE,9,217.475,206.95,230.62,218.785,1081.9,217.57,4.4,-55.5,2846d74b-1ca5-4469-a81c-eced975a61dd
2026-08-03,2026-08-03T09:44:19-04:00,AMBA,24,83.33,83.11,83.97,83.54,102.9,83.94,73.2,47.9,a3d8eebe-a3df-4481-a495-7f4070f46834
2026-08-03,2026-08-03T09:44:19-04:00,LYV,11,176.365,175.4,176.49,175.945,62.0,176.41,2.6,26.4,f20ec48a-4b40-4b73-9f8a-01e67b6e31ca
2026-08-03,2026-08-03T09:44:19-04:00,FSLR,8,222.605,210.0,236.2,223.1,1174.4,223.99,62.2,39.9,3d909634-b67f-4b1d-85b3-fe2c38938eb0
2026-08-04,2026-08-04T09:44:21-04:00,AAOI,15,126.81,122.07,127.38,124.725,425.7,126.6313,-14.1,152.8,7ebe29e7-4cf2-4f91-aef2-ef4d2b99db7c
2026-08-04,2026-08-04T09:44:21-04:00,LITE,2,841.98,838.62,844.53,841.575,70.2,843.39,16.7,21.6,c2289a12-d420-4882-9173-66b3632d939e
2026-08-04,2026-08-04T09:44:21-04:00,PLTR,13,151.53,151.51,151.58,151.545,4.6,151.5454,1.0,0.0,5b21a73f-2e0f-4d5f-9509-440253024f15
2026-08-05,2026-08-05T09:44:16-04:00,SHOP,13,145.385,123.15,148.0,135.575,1832.9,145.82,29.9,755.7,f46c90aa-72ac-4d9d-a834-0a93eed6afcd
2026-08-05,2026-08-05T09:44:16-04:00,UPST,61,32.34,31.8,32.55,32.175,233.1,32.55,64.9,116.6,83634ca5-13bc-4989-bdf4-14209d27ce32
2026-08-05,2026-08-05T09:44:16-04:00,WULF,104,19.16,19.14,19.17,19.155,15.7,19.1681,4.2,6.8,ae87cadd-0435-4d27-a242-fd02a682f40d
2026-08-06,2026-08-06T09:44:21-04:00,HTZ,1190,1.68,1.67,1.68,1.675,59.7,1.68,0.0,29.9,4082ebae-5b51-49ee-9200-45927d670bdc
